股票代號,股票名稱,今日股價,9K,9D,5T_RSI,10T_RSI,交易總次數,策略勝率 (%),平均單次利潤 (%),最佳單次利潤 (%),最差單次利潤 (%),獲利標準差,備註
6806,森崴能源,6.26,1.35,6.02,10.99,27.67,23,56.5,-5.44,9.05,-52.23,16.87,無
6861,睿生光電,348.0,6.86,9.55,19.27,26.31,15,33.3,-4.8,8.91,-23.9,9.58,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
6909,創控,48.2,6.71,8.23,8.69,20.51,8,75.0,5.04,22.59,-15.29,13.1,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
7711,永擎,380.5,13.41,14.85,19.06,31.69,4,50.0,0.76,9.59,-11.31,9.5,無
7765,中華資安,254.0,11.27,13.77,19.27,38.32,4,25.0,-0.45,19.87,-11.67,13.91,無
8033,雷虎,132.5,8.97,12.75,11.4,25.93,20,45.0,1.24,29.14,-15.5,9.59,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
8114,振樺電,238.5,12.6,20.78,18.62,32.67,19,68.4,2.3,24.76,-33.21,12.13,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3105,穩懋,487.0,5.37,8.98,7.12,20.26,22,54.5,1.59,26.06,-23.55,13.36,無
3354,律勝,31.2,8.79,20.03,17.58,32.93,19,63.2,4.48,24.82,-20.68,13.05,⚠️近10T RSI死亡交叉
3438,類比科,73.0,9.15,19.71,17.81,35.98,23,60.9,1.74,17.69,-25.91,10.31,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3551,世禾,206.5,9.08,11.87,7.69,26.68,20,65.0,2.87,16.04,-21.96,8.74,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
3581,博磊,191.0,10.3,14.0,12.79,19.17,23,69.6,5.29,29.17,-29.57,14.71,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3594,磐儀,48.3,8.77,19.2,14.32,26.17,21,61.9,0.25,11.16,-23.26,9.06,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3687,歐買尬,71.6,5.64,9.77,11.8,32.42,22,54.5,-0.61,13.3,-23.27,9.65,無
3707,漢磊,77.7,12.93,25.03,17.72,27.69,21,52.4,-0.94,25.54,-27.49,12.96,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
4163,鐿鈦,124.0,11.67,26.53,19.48,38.92,13,76.9,1.86,7.94,-10.37,4.84,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
4543,萬在,43.4,12.73,26.25,19.51,42.98,23,52.2,-0.22,22.37,-25.45,13.18,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
4549,桓達,120.0,9.36,12.98,19.32,37.18,20,60.0,-0.37,16.61,-21.18,11.11,無
4804,大略-KY,3.27,1.68,4.36,4.97,7.92,13,69.2,3.17,15.45,-13.22,8.14,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
4979,華星光,590.0,4.24,10.28,15.49,28.59,25,80.0,5.43,26.42,-19.13,11.42,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
5236,凌陽創新,164.5,6.41,7.0,3.19,10.99,22,63.6,2.71,26.36,-17.92,10.91,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
5321,美而快,50.5,6.14,19.16,19.12,33.98,13,53.8,-5.59,9.63,-33.54,14.03,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
5425,台半,102.0,16.08,26.04,19.6,35.05,27,59.3,0.72,17.74,-16.3,9.39,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
5432,新門,130.5,8.79,12.0,19.59,29.33,19,63.2,5.61,30.07,-53.56,19.31,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
5493,三聯,88.7,4.05,8.58,14.65,28.63,20,70.0,4.31,31.49,-18.16,12.19,無
6113,亞矽,26.2,10.48,11.52,17.21,28.6,19,57.9,0.99,26.41,-37.5,15.1,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
6125,廣運,66.6,4.95,9.71,14.82,31.08,27,55.6,1.93,24.49,-23.63,11.91,無
6143,振曜,97.1,10.51,17.22,16.2,25.35,27,66.7,2.9,18.42,-22.42,10.61,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6174,安��,43.95,9.18,20.48,18.33,32.32,17,58.8,5.92,34.28,-11.61,13.27,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
6208,日揚,87.0,19.86,18.14,19.35,23.62,18,66.7,-1.53,10.33,-36.57,11.82,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6217,中探針,266.5,9.06,13.37,17.69,26.87,21,71.4,4.74,30.12,-21.51,12.63,⚠️近10T RSI死亡交叉
6234,高僑,46.35,12.12,18.79,19.49,26.57,24,75.0,2.69,16.35,-25.04,10.12,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6284,佳邦,101.0,5.47,9.27,11.38,24.46,27,48.1,2.1,13.93,-16.21,7.77,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
6291,沛亨,589.0,8.08,17.92,17.55,29.59,21,47.6,2.36,24.18,-28.75,16.06,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6425,易發,84.7,8.9,9.45,17.64,22.97,22,63.6,2.63,17.62,-17.35,11.62,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6488,環球晶,880.0,9.5,21.99,8.2,25.95,24,66.7,0.68,21.51,-24.85,11.96,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
6546,正基,77.7,8.58,13.77,12.78,25.95,19,63.2,-0.92,16.43,-44.04,15.59,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
6679,鈺太,286.0,8.58,12.35,14.82,16.39,23,69.6,0.95,12.97,-29.32,11.19,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6725,矽科宏晟,310.5,3.1,7.63,10.8,23.19,19,73.7,4.66,21.81,-11.58,9.22,⚠️近10T KD死亡交叉
6752,叡揚,104.5,5.95,12.74,18.79,40.82,13,38.5,-1.37,20.42,-21.18,13.68,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6821,聯寶,68.0,4.07,8.01,14.34,34.6,15,53.3,0.29,21.29,-29.02,12.18,⚠️近10T KD死亡交叉
6829,千附精密,207.5,7.93,8.37,19.2,29.72,21,52.4,-0.62,15.21,-28.04,9.75,無
6894,衛司特,385.0,10.27,19.68,17.71,37.7,13,61.5,2.51,16.16,-13.51,8.6,無
6922,宸曜,187.5,7.74,10.42,19.61,33.17,19,68.4,3.36,23.97,-22.84,12.99,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
7547,碩網,61.6,10.23,19.82,15.96,32.33,14,71.4,2.98,21.71,-52.05,20.6,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
8054,安國,100.5,15.78,17.67,18.51,28.21,18,61.1,1.35,24.87,-35.02,16.19,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
8069,元太,215.0,10.79,23.07,18.07,29.56,26,69.2,0.96,10.53,-25.67,8.99,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
8086,宏捷科,159.0,5.14,8.89,15.16,27.78,29,62.1,2.87,16.63,-19.98,9.03,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
8097,常珵,57.5,6.21,10.37,17.79,32.59,16,68.8,2.9,16.46,-15.99,8.82,無
8227,巨有科技,197.5,6.83,13.92,16.09,26.39,23,60.9,0.76,15.29,-34.36,14.26,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
8342,益張,88.0,6.19,15.59,19.47,35.84,11,100.0,8.48,22.03,3.88,5.3,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
8291,尚茂,78.8,0.02,0.16,0.69,9.16,8,37.5,3.08,32.33,-33.6,21.58,無
8358,金居,582.0,9.28,14.11,16.99,33.1,28,71.4,3.97,15.21,-16.02,8.16,無
8455,大拓-KY,36.65,4.36,9.05,9.83,21.37,10,60.0,6.31,20.55,-15.65,12.58,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
