日期,股票代號,股票名稱,最新交易日股價,最近一日交易量,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,連續X天,進場條件,出場條件
2026-06-10,2468,華經,40.4,1131 張,5,80.0%,12.04%,46.87%,-9.42%,21.38,1,站上60T進場,乖離率大於15%停利出場
2026-06-10,2543,皇昌,46.65,1615 張,4,100.0%,32.55%,55.9%,14.14%,19.49,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-10,3032,偉訓,82.2,1087 張,9,77.8%,0.67%,10.05%,-17.74%,7.63,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,3055,蔚華科,79.7,841 張,3,100.0%,6.41%,13.88%,2.21%,6.49,1,站上5T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,3057,喬鼎,18.85,283 張,7,71.4%,1.72%,12.68%,-13.93%,8.57,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,3209,全科,61.7,2248 張,10,90.0%,2.41%,9.22%,-4.02%,3.9,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,3231,緯創,152.5,32222 張,28,71.4%,0.81%,6.97%,-12.37%,4.56,1,碰觸BBAND下緣進場,站上60T出場
2026-06-10,3311,閎暉,37.1,447 張,20,80.0%,1.3%,4.27%,-2.37%,1.88,1,碰觸BBAND下緣進場,布林通道觸頂出場
2026-06-10,3376,新日興,203.5,5131 張,13,84.6%,2.19%,7.13%,-8.35%,3.79,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,3518,柏騰,26.8,749 張,9,77.8%,2.72%,9.06%,-0.79%,3.19,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,3673,TPK-KY,78.6,8901 張,13,76.9%,1.01%,17.35%,-9.43%,6.53,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,4555,氣立,45.1,239 張,25,72.0%,0.97%,8.21%,-18.26%,5.34,1,碰觸BBAND下緣進場,站上60T出場
2026-06-10,4720,德淵,23.35,878 張,8,75.0%,3.38%,10.67%,-9.95%,6.75,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,4943,康控-KY,8.99,63 張,22,81.8%,3.5%,12.73%,-13.85%,6.42,1,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場
2026-06-10,6112,邁達特,46.65,549 張,13,92.3%,2.71%,6.65%,-2.32%,2.28,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,6136,富爾特,24.95,344 張,5,100.0%,0.4%,0.59%,0.25%,0.15,1,站上60T進場,站上60T出場
2026-06-10,6192,巨路,117.5,1111 張,42,78.6%,1.36%,13.11%,-10.09%,3.4,1,直接進場,站上60T出場
2026-06-10,6283,淳安,23.05,424 張,41,70.7%,1.45%,11.01%,-10.91%,4.57,1,碰觸BBAND下緣進場,站上60T出場
2026-06-10,6426,統新,195.5,1215 張,6,83.3%,18.36%,40.25%,-2.5%,17.02,1,直接進場,乖離率大於15%停利出場
2026-06-10,6451,訊芯-KY,499.5,3646 張,12,91.7%,19.37%,33.83%,-25.69%,15.84,1,直接進場,乖離率大於15%停利出場
2026-06-10,6472,保瑞,380.5,765 張,8,75.0%,2.91%,10.26%,-7.43%,5.73,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,6558,興能高,30.15,318 張,3,100.0%,11.75%,26.93%,0.34%,13.69,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-10,6689,伊雲谷,66.8,251 張,40,72.5%,1.08%,13.33%,-9.18%,5.15,1,碰觸BBAND下緣進場,站上60T出場
2026-06-10,6796,晉弘,57.5,81 張,4,75.0%,0.6%,0.99%,0.0%,0.45,1,站上60T進場,站上60T出場
2026-06-10,6835,圓裕,36.2,64 張,6,100.0%,1.96%,3.01%,0.75%,0.93,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,6951,青新-創,78.3,81 張,3,100.0%,3.4%,5.69%,1.97%,2.0,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,6988,威力暘-創,14.1,28 張,10,70.0%,1.16%,10.49%,-34.18%,13.53,1,碰觸BBAND下緣進場,布林通道觸頂出場
2026-06-10,7610,聯友金屬-創,1555.0,113 張,3,100.0%,11.91%,18.13%,5.88%,6.13,1,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,7795,長廣,341.5,300 張,8,87.5%,5.6%,14.83%,-0.54%,4.75,1,直接進場,站上60T出場
2026-06-10,9103,美德醫療-DR,5.75,1875 張,4,75.0%,2.95%,18.75%,-24.16%,19.45,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
