股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
6271,同欣電,2026-09-08 04:30:01,True,225.0,2722 張,-754(15%)/-230(6%)/+4570(30%)/-2311(20%)/-741(26%),+534(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,3.33%,10.24%,-1.57%,4.4,站上60T進場,布林通道觸頂出場,6271,🟢 已滿足進場條件
6215,和椿,2026-09-08 04:30:01,True,95.6,322 張,+293(28%)/-361(28%)/-92(17%)/-118(30%)/-101(31%),-379(10%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,27.69%,55.72%,-39.84%,38.39,碰觸BBAND下緣進場,乖離率大於15%停利出場,6215,🟢 已滿足進場條件
6525,捷敏-KY,2026-09-08 04:30:03,True,131.0,635 張,-515(49%)/+58(5%)/-4(1%)/-364(29%)/-152(23%),-977(20%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,100.0%,4.06%,12.97%,0.88%,3.75,站上60T進場,布林通道觸頂出場,6525,🟢 已滿足進場條件
6558,興能高,2026-09-08 04:30:03,True,23.75,138 張,+8(9%)/-22(14%)/+11(11%)/-74(42%)/-50(35%),-127(19%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,19.76%,32.02%,0.34%,17.01,碰觸BBAND下緣進場,乖離率大於15%停利出場,6558,🟢 已滿足進場條件
6756,威鋒電子,2026-09-08 04:30:04,True,98.5,114 張,+50(31%)/+63(26%)/+78(38%)/-41(40%)/-34(28%),+116(14%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,40,75.0%,1.48%,10.35%,-21.54%,6.05,碰觸BBAND下緣進場,站上60T出場,6756,🟢 已滿足進場條件
6695,芯鼎,2026-09-08 04:30:04,True,46.95,349 張,+186(23%)/-488(65%)/+4(2%)/-168(52%)/-123(35%),-589(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,4,75.0%,8.92%,23.41%,-13.56%,16.13,站上60T進場,乖離率大於15%停利出場,6695,🟢 已滿足進場條件
6799,來頡,2026-09-08 04:30:05,True,78.5,84 張,+16(18%)/-16(11%)/-11(11%)/-28(26%)/-21(23%),-60(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] MACD柱狀體翻綠出場,14,78.6%,0.33%,1.94%,-1.02%,0.66,站上60T進場,MACD柱狀體翻綠出場,6799,🟢 已滿足進場條件
8016,矽創,2026-09-08 04:30:07,True,277.5,1113 張,+37(10%)/-104(20%)/+30(13%)/-47(19%)/-264(22%),-348(14%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,43,81.4%,1.43%,8.21%,-8.51%,3.07,碰觸BBAND下緣進場,站上60T出場,8016,🟢 已滿足進場條件
8114,振樺電,2026-09-08 04:30:08,True,180.5,846 張,+20(8%)/-222(36%)/+138(48%)/-345(63%)/-271(30%),-680(26%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,31,74.2%,0.92%,17.65%,-21.17%,8.95,直接進場,布林通道觸頂出場,8114,🟢 已滿足進場條件
8341,日友,2026-09-08 04:30:08,True,74.6,173 張,+2(2%)/-18(17%)/-29(19%)/-26(17%)/-68(35%),-139(20%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,39,71.8%,0.58%,2.15%,-4.32%,1.25,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,8341,🟢 已滿足進場條件
9914,美利達,2026-09-08 04:30:10,True,77.2,571 張,-516(59%)/-576(39%)/-100(11%)/-696(50%)/-49(8%),-1937(37%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,29,72.4%,0.16%,12.58%,-26.13%,9.11,碰觸BBAND下緣進場,布林通道觸頂出場,9914,🟢 已滿足進場條件
