股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key
1529,樂事綠能,2026-06-10 23:13:42,False,,,,,,,,,,,
1526,日馳,2026-06-10 23:13:42,True,14.4,72 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5.0,100.0%,2.27%,9.39%,0.16%,4.0,站上60T進場,碰觸20T(布林中線)以上出場
1536,和大,2026-06-10 23:13:42,False,,,,,,,,,,,
1531,高林股,2026-06-10 23:13:42,False,,,,,,,,,,,
1537,廣隆,2026-06-10 23:13:42,False,,,,,,,,,,,
1532,勤美,2026-06-10 23:13:42,False,,,,,,,,,,,
1539,巨庭,2026-06-10 23:13:42,False,,,,,,,,,,,
1533,車王電,2026-06-10 23:13:42,False,,,,,,,,,,,
1535,中宇,2026-06-10 23:13:42,False,,,,,,,,,,,
1538,正峰,2026-06-10 23:13:42,False,,,,,,,,,,,
1530,亞崴,2026-06-10 23:13:42,False,,,,,,,,,,,
1514,亞力,2026-06-10 23:13:41,True,118.5,3627 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5.0,80.0%,28.37%,62.58%,-19.71%,31.39,碰觸BBAND下緣進場,乖離率大於15%停利出場
1568,倉佑,2026-06-10 23:13:43,False,,,,,,,,,,,
1563,巧新,2026-06-10 23:13:43,False,,,,,,,,,,,
1587,吉茂,2026-06-10 23:13:43,False,,,,,,,,,,,
1582,信錦,2026-06-10 23:13:43,False,,,,,,,,,,,
1540,喬福,2026-06-10 23:13:42,False,,,,,,,,,,,
1589,永冠-KY,2026-06-10 23:13:43,False,,,,,,,,,,,
1558,伸興,2026-06-10 23:13:43,False,,,,,,,,,,,
1541,錩泰,2026-06-10 23:13:43,False,,,,,,,,,,,
1583,程泰,2026-06-10 23:13:43,False,,,,,,,,,,,
1560,中砂,2026-06-10 23:13:43,True,604.0,1111 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,32.0,81.2%,1.57%,10.4%,-27.52%,7.16,直接進場,布林通道觸頂出場
1612,宏泰,2026-06-10 23:13:43,False,,,,,,,,,,,
1590,亞德客-KY,2026-06-10 23:13:43,False,,,,,,,,,,,
1604,聲寶,2026-06-10 23:13:43,False,,,,,,,,,,,
1598,岱宇,2026-06-10 23:13:43,False,,,,,,,,,,,
1611,中電,2026-06-10 23:13:43,False,,,,,,,,,,,
1609,大亞,2026-06-10 23:13:43,False,,,,,,,,,,,
1603,華電,2026-06-10 23:13:43,False,,,,,,,,,,,
1608,華榮,2026-06-10 23:13:43,False,,,,,,,,,,,
1597,直得,2026-06-10 23:13:43,True,147.5,1847 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6.0,83.3%,2.08%,7.6%,-12.45%,7.51,站上60T進場,布林通道觸頂出場
1605,華新,2026-06-10 23:13:43,False,,,,,,,,,,,
1615,大山,2026-06-10 23:13:43,False,,,,,,,,,,,
1623,大東電,2026-06-10 23:13:43,False,,,,,,,,,,,
1614,三洋電,2026-06-10 23:13:43,False,,,,,,,,,,,
1626,艾美特-KY,2026-06-10 23:13:43,False,,,,,,,,,,,
1702,南僑,2026-06-10 23:13:43,False,,,,,,,,,,,
1616,億泰,2026-06-10 23:13:43,False,,,,,,,,,,,
1707,葡萄王,2026-06-10 23:13:44,False,,,,,,,,,,,
1618,合機,2026-06-10 23:13:43,False,,,,,,,,,,,
1708,東鹼,2026-06-10 23:13:44,False,,,,,,,,,,,
1617,榮星,2026-06-10 23:13:43,False,,,,,,,,,,,
1709,和益,2026-06-10 23:13:44,False,,,,,,,,,,,
1718,中纖,2026-06-10 23:13:44,False,,,,,,,,,,,
1713,國化,2026-06-10 23:13:44,False,,,,,,,,,,,
1714,和桐,2026-06-10 23:13:44,False,,,,,,,,,,,
1710,東聯,2026-06-10 23:13:44,False,,,,,,,,,,,
1712,興農,2026-06-10 23:13:44,False,,,,,,,,,,,
1711,永光,2026-06-10 23:13:44,False,,,,,,,,,,,
1717,長興,2026-06-10 23:13:44,False,,,,,,,,,,,
1721,三晃,2026-06-10 23:13:44,False,,,,,,,,,,,
1720,生達,2026-06-10 23:13:44,False,,,,,,,,,,,
1722,台肥,2026-06-10 23:13:44,False,,,,,,,,,,,
1726,永記,2026-06-10 23:13:44,False,,,,,,,,,,,
1727,中華化,2026-06-10 23:13:44,False,,,,,,,,,,,
1723,中碳,2026-06-10 23:13:44,False,,,,,,,,,,,
1732,毛寶,2026-06-10 23:13:44,False,,,,,,,,,,,
1731,美吾華,2026-06-10 23:13:44,False,,,,,,,,,,,
1733,五鼎,2026-06-10 23:13:44,False,,,,,,,,,,,
1730,花仙子,2026-06-10 23:13:44,False,,,,,,,,,,,
1734,杏輝,2026-06-10 23:13:44,False,,,,,,,,,,,
1736,喬山,2026-06-10 23:13:44,False,,,,,,,,,,,
1737,臺鹽,2026-06-10 23:13:44,False,,,,,,,,,,,
1752,南光,2026-06-10 23:13:44,False,,,,,,,,,,,
1735,日勝化,2026-06-10 23:13:44,False,,,,,,,,,,,
1725,元禎,2026-06-10 23:13:44,False,,,,,,,,,,,
1760,寶齡富錦,2026-06-10 23:13:44,False,,,,,,,,,,,
1762,中化生,2026-06-10 23:13:44,False,,,,,,,,,,,
1773,勝一,2026-06-10 23:13:44,False,,,,,,,,,,,
1776,展宇,2026-06-10 23:13:44,False,,,,,,,,,,,
1783,和康生,2026-06-10 23:13:44,False,,,,,,,,,,,
1806,冠軍,2026-06-10 23:13:44,False,,,,,,,,,,,
1805,寶徠,2026-06-10 23:13:44,False,,,,,,,,,,,
1802,台玻,2026-06-10 23:13:44,False,,,,,,,,,,,
1795,美時,2026-06-10 23:13:44,False,,,,,,,,,,,
1789,神隆,2026-06-10 23:13:44,False,,,,,,,,,,,
1786,科妍,2026-06-10 23:13:44,False,,,,,,,,,,,
1809,中釉,2026-06-10 23:13:44,False,,,,,,,,,,,
1808,潤隆,2026-06-10 23:13:44,False,,,,,,,,,,,
1810,和成,2026-06-10 23:13:44,False,,,,,,,,,,,
1903,士紙,2026-06-10 23:13:44,False,,,,,,,,,,,
1817,凱撒衛,2026-06-10 23:13:44,False,,,,,,,,,,,
1904,正隆,2026-06-10 23:13:44,False,,,,,,,,,,,
2002,中鋼,2026-06-10 23:13:44,False,,,,,,,,,,,
1906,寶隆,2026-06-10 23:13:44,False,,,,,,,,,,,
1907,永豐餘,2026-06-10 23:13:44,False,,,,,,,,,,,
1909,榮成,2026-06-10 23:13:44,False,,,,,,,,,,,
1905,華紙,2026-06-10 23:13:44,False,,,,,,,,,,,
2008,高興昌,2026-06-10 23:13:44,False,,,,,,,,,,,
2010,春源,2026-06-10 23:13:44,False,,,,,,,,,,,
2006,東和鋼鐵,2026-06-10 23:13:44,False,,,,,,,,,,,
2007,燁興,2026-06-10 23:13:44,False,,,,,,,,,,,
2012,春雨,2026-06-10 23:13:44,False,,,,,,,,,,,
2009,第一銅,2026-06-10 23:13:44,False,,,,,,,,,,,
2015,豐興,2026-06-10 23:13:44,False,,,,,,,,,,,
